id_student,kuz_assess_count,kuz_weight_mean,kuz_weight_sum,kuz_modules_nunique,kuz_score_mean,kuz_score_std,kuz_score_min,kuz_score_max,kuz_type_cma,kuz_type_exam,kuz_type_tma,final_result,kuz_duration_days
11391,5,20.0,100.0,1,61.8,9.239047569960878,48.0,77.0,0,0,5,Pass,0
28400,7,12.857142857142858,90.0,1,87.0,4.140393356054124,83.0,93.0,0,0,5,Pass,0
31604,5,20.0,100.0,1,82.0,2.756809750418044,78.0,85.0,0,0,5,Pass,0
32885,4,6.25,25.0,1,82.5,17.557049866079435,63.0,100.0,0,0,5,Pass,0
38053,9,22.22222222222222,200.0,1,74.44444444444444,12.499876542600209,56.0,94.0,0,0,5,Pass,0
45462,11,9.090909090909092,100.0,1,93.9090909090909,5.615798258720183,87.0,100.0,0,0,5,Pass,0
45642,8,0.0,0.0,1,62.5,11.9895788082818,40.0,80.0,0,0,5,Pass,0
52130,7,28.571428571428573,200.0,1,76.28571428571429,12.34867587712818,58.0,91.0,0,0,5,Pass,0
53025,9,0.0,0.0,1,88.88888888888889,9.938079899999064,80.0,100.0,0,0,5,Pass,0
57506,5,20.0,100.0,1,46.8,6.431174076325412,38.0,55.0,0,0,5,Pass,0
58873,11,9.090909090909092,100.0,1,77.36363636363636,20.82076204732682,53.0,100.0,0,0,5,Pass,0
59185,4,25.0,100.0,1,84.25,8.584142356694697,75.0,97.0,0,0,5,Pass,0
62155,1,2.0,2.0,1,78.0,0.0,78.0,78.0,0,0,5,Pass,0
63400,2,7.5,15.0,1,55.0,25.0,30.0,80.0,0,0,5,Pass,0
65002,2,9.5,19.0,1,86.5,13.5,73.0,100.0,0,0,4,Withdrawn,0
70464,9,0.0,0.0,1,88.0,17.632041540584257,53.0,100.0,0,0,5,Pass,0
71361,5,20.0,100.0,1,86.2,1.9390719429665315,83.0,88.0,0,0,5,Pass,0
74372,12,8.333333333333334,100.0,1,89.25,9.047329256010668,68.0,99.0,0,0,4,Fail,0
75091,1,12.5,12.5,1,88.0,0.0,88.0,88.0,0,0,5,Pass,0
77367,5,20.0,100.0,1,51.4,25.546819762937226,1.0,72.0,0,0,5,Pass,0
91265,3,10.0,30.0,1,74.33333333333333,18.153665072253467,61.0,100.0,0,0,5,Pass,0
94961,9,22.22222222222222,200.0,1,93.33333333333331,4.737556801183964,84.0,100.0,0,0,6,Withdrawn,0
98094,12,8.333333333333334,100.0,1,52.0,14.882876066137218,16.0,69.0,0,0,5,Pass,0
100893,8,13.75,110.0,1,50.625,19.962073414352528,6.0,80.0,0,0,5,Pass,0
101781,12,8.333333333333334,100.0,1,82.08333333333333,11.28020636139054,63.0,98.0,0,0,5,Pass,0
102806,11,9.090909090909092,100.0,1,76.0909090909091,19.532976989763867,48.0,100.0,0,0,5,Pass,0
102952,3,24.0,72.0,1,60.0,3.559026084010437,57.0,65.0,0,0,5,Pass,0
104476,12,7.333333333333333,88.0,1,69.16666666666667,14.93783414317112,55.0,100.0,0,0,5,Pass,0
106247,4,15.0,60.0,1,75.25,9.65336728815391,63.0,90.0,0,0,3,Withdrawn,0
106577,7,28.571428571428573,200.0,1,49.42857142857143,13.361534801245623,24.0,69.0,0,0,5,Pass,0
110175,5,20.0,100.0,1,77.6,3.929376540877701,71.0,82.0,0,0,5,Pass,0
111717,5,20.0,100.0,1,66.4,3.878143885933064,60.0,70.0,0,0,3,Pass,0
113295,2,4.5,9.0,1,31.5,1.5,30.0,33.0,0,0,5,Pass,0
114017,5,25.0,125.0,1,53.6,22.132329294495868,21.0,89.0,0,0,5,Pass,0
114999,2,12.5,25.0,1,70.0,10.0,60.0,80.0,0,0,5,Pass,0
116541,12,8.333333333333334,100.0,1,71.33333333333333,15.696779570628136,47.0,92.0,0,0,5,Pass,0
116692,2,5.5,11.0,1,59.5,7.5,52.0,67.0,0,0,5,Pass,0
118983,9,9.0,81.0,1,73.22222222222223,15.984560451870616,55.0,100.0,0,0,5,Pass,0
123044,12,8.333333333333334,100.0,1,92.08333333333331,3.707162736589202,86.0,97.0,0,0,5,Pass,0
127582,9,23.444444444444443,211.0,2,59.22222222222222,30.010286302376677,0.0,93.0,0,0,5,Pass,0
129955,8,23.875,191.0,1,75.25,18.63296809421408,54.0,100.0,0,0,6,Withdrawn,0
132976,13,23.07692307692308,300.0,2,83.76923076923077,8.450342242990436,67.0,94.0,0,0,5,Pass,0
134143,9,22.22222222222222,200.0,1,89.33333333333333,4.760952285695234,83.0,97.0,0,0,5,Distinction,0
135400,6,12.5,75.0,1,77.5,15.392097539538485,60.0,95.0,0,0,7,Withdrawn,0
137873,13,23.07692307692308,300.0,2,80.61538461538461,11.23551006365677,60.0,100.0,0,0,5,Pass,0
141355,9,0.0,0.0,1,71.88888888888889,29.621480360802902,0.0,100.0,0,0,5,Pass,0
141377,10,8.2,82.0,1,88.0,12.157302332343306,72.0,100.0,0,0,6,Withdrawn,0
142326,9,22.22222222222222,200.0,1,93.55555555555556,6.038968107422752,79.0,100.0,0,0,5,Pass,0
144801,4,6.25,25.0,1,87.25,3.2691742076555053,83.0,92.0,0,0,5,Pass,0
145130,1,10.0,10.0,1,35.0,0.0,35.0,35.0,0,0,5,Pass,0
146188,9,22.22222222222222,200.0,1,99.33333333333331,1.247219128924647,96.0,100.0,0,0,5,Fail,0
147756,5,8.6,43.0,1,90.0,8.221921916437786,82.0,100.0,0,0,9,Fail,0
147793,9,0.0,0.0,1,89.22222222222223,12.199979761165162,72.0,100.0,0,0,1,Withdrawn,0
148993,9,22.22222222222222,200.0,1,96.88888888888889,3.7548322774923952,89.0,100.0,0,0,8,Withdrawn,0
151358,7,28.571428571428573,200.0,1,50.142857142857146,21.22955198658277,22.0,92.0,0,0,5,Pass,0
155550,4,0.0,0.0,1,90.5,9.526279441628828,80.0,100.0,0,0,5,Pass,0
155854,2,11.25,22.5,1,56.0,11.0,45.0,67.0,0,0,5,Pass,0
155984,12,8.333333333333334,100.0,1,66.08333333333333,15.435124086172925,38.0,81.0,0,0,7,Withdrawn,0
157568,5,20.0,100.0,1,54.8,5.635601121442148,47.0,64.0,0,0,5,Pass,0
159954,5,20.0,100.0,1,76.0,6.164414002968978,71.0,88.0,0,0,5,Withdrawn,0
164259,11,9.090909090909092,100.0,1,79.27272727272727,24.65061647427876,15.0,100.0,0,0,5,Pass,0
167906,11,9.090909090909092,100.0,1,78.0,15.087622862345269,60.0,100.0,0,0,5,Pass,0
168936,5,15.0,75.0,1,89.6,2.332380757938121,88.0,94.0,0,0,5,Pass,0
172112,8,0.0,0.0,1,80.625,20.832291640623698,55.0,100.0,0,0,5,Pass,0
172797,2,5.0,10.0,1,31.0,30.0,1.0,61.0,0,0,5,Pass,0
174782,5,20.0,100.0,1,54.4,18.347751905887545,30.0,75.0,0,0,5,Pass,0
175392,5,20.0,100.0,1,45.0,22.117866081518805,1.0,59.0,0,0,5,Pass,0
175932,3,13.333333333333334,40.0,1,59.0,4.320493798938574,55.0,65.0,0,0,5,Pass,0
175991,1,12.5,12.5,1,84.0,0.0,84.0,84.0,0,0,5,Fail,0
180753,4,10.5,42.0,1,78.66666666666667,17.15290710702481,58.0,100.0,0,0,5,Pass,0
181316,7,12.857142857142858,90.0,1,76.14285714285714,12.028876820011936,63.0,94.0,0,0,1,Withdrawn,0
183096,7,28.571428571428573,200.0,1,63.71428571428572,12.463825206392707,44.0,83.0,0,0,5,Pass,0
183947,4,8.75,35.0,1,54.5,4.5,50.0,59.0,0,0,5,Pass,0
184271,12,8.333333333333334,100.0,1,91.5,5.377421934967225,83.0,100.0,0,0,5,Pass,0
185439,6,30.0,180.0,1,81.33333333333333,7.156970184527966,67.0,88.0,0,0,1,Fail,0
186149,3,6.0,18.0,1,73.33333333333333,12.684198393626962,56.0,86.0,0,0,5,Pass,0
187100,7,12.857142857142858,90.0,1,84.42857142857143,2.2587697572631287,83.0,88.0,0,0,5,Distinction,0
188278,9,9.0,81.0,1,88.0,11.32352516764202,72.0,100.0,0,0,6,Withdrawn,0
189879,2,12.5,25.0,1,74.0,2.0,72.0,76.0,0,0,5,Pass,0
192183,10,8.2,82.0,1,90.6,11.508257904652634,73.0,100.0,0,0,5,Pass,0
200860,1,1.0,1.0,1,80.0,0.0,80.0,80.0,0,0,5,Pass,0
202635,3,16.666666666666668,50.0,1,49.0,11.04536101718726,35.0,62.0,0,0,3,Withdrawn,0
205350,2,5.0,10.0,1,34.5,33.5,1.0,68.0,0,0,5,Pass,0
205719,3,8.333333333333334,25.0,1,75.66666666666667,2.8674417556808742,72.0,79.0,0,0,3,Fail,0
227499,3,8.0,24.0,1,67.33333333333333,12.119772641798562,51.0,80.0,0,0,5,Distinction,0
227517,11,9.090909090909092,100.0,1,73.9090909090909,16.533462187358897,40.0,100.0,0,0,5,Fail,0
228082,2,0.0,0.0,1,75.0,5.0,70.0,80.0,0,0,5,Pass,0
228222,4,25.0,100.0,1,79.75,14.376630342329875,56.0,93.0,0,0,5,Pass,0
229179,9,16.444444444444443,148.0,2,75.22222222222223,13.838575535058013,43.0,89.0,0,0,5,Pass,0
229361,1,10.0,10.0,1,66.0,0.0,66.0,66.0,0,0,5,Pass,0
231554,9,25.0,225.0,2,87.0,7.512951779723101,76.0,99.0,0,0,4,Pass,0
235507,12,8.333333333333334,100.0,1,87.58333333333333,8.159435574161297,76.0,99.0,0,0,6,Withdrawn,0
236284,1,12.5,12.5,1,54.0,0.0,54.0,54.0,0,0,5,Pass,0
238007,1,12.5,12.5,1,82.0,0.0,82.0,82.0,0,0,5,Pass,0
240712,1,5.0,5.0,1,71.0,0.0,71.0,71.0,0,0,5,Pass,0
240884,10,5.0,50.0,1,83.0,4.472135954999579,73.0,89.0,0,0,5,Pass,0
241649,11,6.818181818181818,75.0,1,67.45454545454545,8.521242294873083,54.0,84.0,0,0,5,Pass,0
241729,5,5.0,25.0,1,70.6,7.031358332498778,64.0,84.0,0,0,5,Fail,0
242793,11,6.818181818181818,75.0,1,84.18181818181819,5.54023599461549,74.0,93.0,0,0,5,Pass,0
246834,10,9.9,99.0,1,81.9,15.319595294915596,62.0,100.0,0,0,5,Pass,0
248270,5,25.0,125.0,1,98.0,2.5298221281347035,94.0,100.0,0,0,5,Pass,0
255548,5,20.0,100.0,1,68.0,9.818350166906862,50.0,79.0,0,0,5,Pass,0
256815,7,8.857142857142858,62.0,1,77.71428571428571,10.538558938004568,64.0,100.0,0,0,5,Pass,0
258392,4,16.25,65.0,1,38.75,21.90176933491904,1.0,54.0,0,0,5,Pass,0
258894,1,5.0,5.0,1,77.0,0.0,77.0,77.0,0,0,5,Pass,0
260355,5,20.0,100.0,1,77.4,11.48216007552586,69.0,100.0,0,0,3,Withdrawn,0
262011,1,10.0,10.0,1,70.0,0.0,70.0,70.0,0,0,5,Pass,0
262934,1,10.0,10.0,1,84.0,0.0,84.0,84.0,0,0,5,Pass,0
268073,11,9.090909090909092,100.0,1,83.0909090909091,12.093984571261757,60.0,100.0,0,0,5,Fail,0
268733,4,15.0,60.0,1,64.5,31.060424980994704,11.0,85.0,0,0,2,Withdrawn,0
271251,11,6.818181818181818,75.0,1,78.45454545454545,9.538092398984729,65.0,90.0,0,0,5,Pass,0
277880,7,28.571428571428573,200.0,1,93.71428571428572,4.890640791035339,85.0,100.0,0,0,6,Withdrawn,0
279572,9,23.27777777777778,209.5,1,71.55555555555556,8.958064164776166,53.0,86.0,0,0,5,Distinction,0
281022,7,28.571428571428573,200.0,1,71.14285714285714,18.596686121292624,49.0,97.0,0,0,5,Pass,0
281250,7,26.285714285714285,184.0,1,68.28571428571429,17.14404757771451,37.0,90.0,0,0,5,Fail,0
282821,1,12.5,12.5,1,86.0,0.0,86.0,86.0,0,0,5,Pass,0
286488,12,8.333333333333334,100.0,1,90.58333333333331,5.251322584729384,76.0,97.0,0,0,5,Pass,0
287548,11,7.181818181818182,79.0,1,82.81818181818181,12.669348708367565,56.0,97.0,0,0,5,Pass,0
290201,9,0.0,0.0,1,80.0,21.90383020792888,40.0,100.0,0,0,5,Pass,0
290757,5,20.0,100.0,1,61.6,26.911707489492372,25.0,100.0,0,0,5,Pass,0
291334,12,8.333333333333334,100.0,1,71.0,7.799572637865059,57.0,84.0,0,0,5,Distinction,0
294570,12,8.333333333333334,100.0,1,80.25,6.59703216100493,67.0,89.0,0,0,5,Pass,0
294594,13,23.07692307692308,300.0,2,72.38461538461539,12.054609469719688,50.0,86.0,0,0,5,Pass,0
295741,12,8.333333333333334,100.0,1,78.66666666666667,8.076027626390477,67.0,94.0,7,0,10,Fail,0
296332,21,14.285714285714286,300.0,2,94.57142857142856,3.2156081935493583,89.0,100.0,0,0,5,Distinction,0
298696,1,10.0,10.0,1,39.0,0.0,39.0,39.0,0,0,5,Pass,0
300398,12,8.333333333333334,100.0,1,76.0,7.713624310270758,59.0,90.0,0,0,5,Pass,0
302302,9,6.666666666666667,60.0,1,71.44444444444444,12.455352362303358,45.0,89.0,0,0,3,Fail,0
305152,12,8.333333333333334,100.0,1,86.58333333333333,8.769818824937156,74.0,100.0,0,0,1,Fail,0
305386,4,25.0,100.0,1,92.75,4.763139720814412,85.0,98.0,0,0,5,Pass,0
306107,11,6.818181818181818,75.0,1,83.63636363636364,24.71022139363211,7.0,98.0,0,0,5,Pass,0
306466,12,8.333333333333334,100.0,1,63.333333333333336,9.902300518341963,40.0,75.0,0,0,5,Pass,0
306897,5,20.0,100.0,1,68.0,4.427188724235731,62.0,75.0,0,0,5,Pass,0
307061,5,20.0,100.0,1,72.4,0.4898979485566347,72.0,73.0,0,0,5,Pass,0
307866,16,13.4375,215.0,2,51.5625,15.897990242480338,0.0,69.0,0,0,4,Pass,0
311917,3,8.333333333333334,25.0,1,65.0,0.0,65.0,65.0,0,0,5,Pass,0
312537,12,8.333333333333334,100.0,1,84.75,4.985395337048675,76.0,94.0,0,0,5,Distinction,0
312782,9,22.22222222222222,200.0,1,93.55555555555556,3.4676636742949407,88.0,98.0,0,0,5,Pass,0
318933,7,11.142857142857142,78.0,1,83.71428571428571,22.384396898058164,35.0,100.0,0,0,5,Pass,0
319047,6,30.0,180.0,1,58.5,21.13251838596937,24.0,80.0,0,0,5,Pass,0
321942,1,5.0,5.0,1,55.0,0.0,55.0,55.0,0,0,5,Pass,0
324002,5,20.0,100.0,1,64.8,5.635601121442148,56.0,73.0,0,0,5,Pass,0
324084,4,25.0,100.0,1,70.5,13.162446581088185,58.0,91.0,0,0,5,Pass,0
324282,4,15.0,60.0,1,49.25,22.364872009470567,29.0,87.0,0,0,5,Pass,0
331358,11,9.090909090909092,100.0,1,45.90909090909091,14.241134693393356,20.0,80.0,0,0,6,Withdrawn,0
332789,12,8.333333333333334,100.0,1,53.333333333333336,16.21384867602041,20.0,72.0,0,0,5,Pass,0
333059,3,10.0,30.0,1,65.66666666666667,25.249862485874168,40.0,100.0,0,0,5,Pass,0
333323,2,12.5,25.0,1,41.0,3.0,38.0,44.0,0,0,5,Pass,0
334259,11,9.090909090909092,100.0,1,77.27272727272727,18.13129343573956,56.0,100.0,0,0,2,Fail,0
334333,6,30.0,180.0,1,52.16666666666666,6.542595475463508,43.0,62.0,0,0,1,Withdrawn,0
335764,10,8.2,82.0,1,76.8,13.113351974228404,60.0,100.0,0,0,8,Withdrawn,0
336207,13,7.846153846153846,102.0,2,86.46153846153847,8.889192959953673,69.0,98.0,0,0,5,Pass,0
339972,11,20.227272727272727,222.5,2,84.9090909090909,14.908536575060522,50.0,100.0,0,0,5,Pass,0
341872,9,0.0,0.0,1,85.11111111111111,11.029701763314108,69.0,100.0,0,0,5,Fail,0
342007,6,7.333333333333333,44.0,1,84.83333333333333,11.894209608974538,67.0,100.0,0,0,6,Withdrawn,0
342514,14,7.928571428571429,111.0,2,76.64285714285714,17.609279789187223,20.0,100.0,0,0,5,Pass,0
342972,6,30.0,180.0,1,87.66666666666667,3.4480268109295324,84.0,95.0,0,0,5,Pass,0
343446,12,8.333333333333334,100.0,1,81.08333333333333,7.22793577417201,70.0,97.0,0,0,5,Pass,0
344282,3,13.333333333333334,40.0,1,87.33333333333333,2.4944382578492927,84.0,90.0,0,0,5,Fail,0
345068,9,9.0,81.0,1,46.22222222222222,24.421201070553327,5.0,80.0,0,0,5,Pass,0
